SA2 code,SA2 name,SA3 code,SA3 name,S_T code,S_T name
401011001,Adelaide,40101,Adelaide City,4,South Australia
401011002,North Adelaide,40101,Adelaide City,4,South Australia
401021003,Adelaide Hills,40102,Adelaide Hills,4,South Australia
401021004,Aldgate - Stirling,40102,Adelaide Hills,4,South Australia
401021005,Hahndorf - Echunga,40102,Adelaide Hills,4,South Australia
401021006,Lobethal - Woodside,40102,Adelaide Hills,4,South Australia
401021007,Mount Barker,40102,Adelaide Hills,4,South Australia
401021008,Mount Barker Surrounds,40102,Adelaide Hills,4,South Australia
401021009,Nairne,40102,Adelaide Hills,4,South Australia
401021010,Uraidla - Summertown,40102,Adelaide Hills,4,South Australia
401031011,Burnside - Wattle Park,40103,Burnside,4,South Australia
401031012,Beaumont - Glen Osmond,40103,Burnside,4,South Australia
401031013,Toorak Gardens,40103,Burnside,4,South Australia
401041014,Athelstone,40104,Campbelltown (SA),4,South Australia
401041015,Paradise - Newton,40104,Campbelltown (SA),4,South Australia
401041016,Rostrevor - Magill,40104,Campbelltown (SA),4,South Australia
401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,4,South Australia
401051018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,4,South Australia
401051019,St Peters - Marden,40105,Norwood - Payneham - St Peters,4,South Australia
401061020,Nailsworth - Broadview,40106,Prospect - Walkerville,4,South Australia
401061021,Prospect,40106,Prospect - Walkerville,4,South Australia
401061022,Walkerville,40106,Prospect - Walkerville,4,South Australia
401071023,Goodwood - Millswood,40107,Unley,4,South Australia
401071024,Unley - Parkside,40107,Unley,4,South Australia
402011025,Gawler - North,40201,Gawler - Two Wells,4,South Australia
402011026,Gawler - South,40201,Gawler - Two Wells,4,South Australia
402011027,Lewiston - Two Wells,40201,Gawler - Two Wells,4,South Australia
402021028,Craigmore - Blakeview,40202,Playford,4,South Australia
402021029,Davoren Park,40202,Playford,4,South Australia
402021030,Elizabeth,40202,Playford,4,South Australia
402021031,Elizabeth East,40202,Playford,4,South Australia
402021032,Munno Para West - Angle Vale,40202,Playford,4,South Australia
402021033,One Tree Hill,40202,Playford,4,South Australia
402021034,Smithfield - Elizabeth North,40202,Playford,4,South Australia
402021035,Virginia - Waterloo Corner,40202,Playford,4,South Australia
402031036,Enfield - Blair Athol,40203,Port Adelaide - East,4,South Australia
402031038,Windsor Gardens,40203,Port Adelaide - East,4,South Australia
402031175,Northgate - Northfield,40203,Port Adelaide - East,4,South Australia
402031176,Valley View - Gilles Plains,40203,Port Adelaide - East,4,South Australia
402041039,Dry Creek - North,40204,Salisbury,4,South Australia
402041040,Ingle Farm,40204,Salisbury,4,South Australia
402041041,Para Hills,40204,Salisbury,4,South Australia
402041042,Parafield,40204,Salisbury,4,South Australia
402041043,Parafield Gardens,40204,Salisbury,4,South Australia
402041044,Paralowie,40204,Salisbury,4,South Australia
402041046,Salisbury,40204,Salisbury,4,South Australia
402041047,Salisbury East,40204,Salisbury,4,South Australia
402041048,Salisbury North,40204,Salisbury,4,South Australia
402041171,Mawson Lakes - Globe Derby Park,40204,Salisbury,4,South Australia
402041172,Pooraka - Cavan,40204,Salisbury,4,South Australia
402051049,Golden Grove,40205,Tea Tree Gully,4,South Australia
402051050,Greenwith,40205,Tea Tree Gully,4,South Australia
402051051,Highbury - Dernancourt,40205,Tea Tree Gully,4,South Australia
402051052,Hope Valley - Modbury,40205,Tea Tree Gully,4,South Australia
402051053,Modbury Heights,40205,Tea Tree Gully,4,South Australia
402051054,Redwood Park,40205,Tea Tree Gully,4,South Australia
402051055,St Agnes - Ridgehaven,40205,Tea Tree Gully,4,South Australia
403011056,Brighton (SA),40301,Holdfast Bay,4,South Australia
403011057,Glenelg (SA),40301,Holdfast Bay,4,South Australia
403021058,Edwardstown,40302,Marion,4,South Australia
403021059,Hallett Cove,40302,Marion,4,South Australia
403021060,Marino - Seaview Downs,40302,Marion,4,South Australia
403021061,Mitchell Park,40302,Marion,4,South Australia
403021062,Morphettville,40302,Marion,4,South Australia
403021063,Sheidow Park - Trott Park,40302,Marion,4,South Australia
403021064,Warradale,40302,Marion,4,South Australia
403031065,Belair,40303,Mitcham,4,South Australia
403031066,Bellevue Heights,40303,Mitcham,4,South Australia
403031067,Blackwood,40303,Mitcham,4,South Australia
403031068,Colonel Light Gardens,40303,Mitcham,4,South Australia
403031069,Mitcham (SA),40303,Mitcham,4,South Australia
403031070,Panorama,40303,Mitcham,4,South Australia
403041071,Aberfoyle Park,40304,Onkaparinga,4,South Australia
403041072,Aldinga,40304,Onkaparinga,4,South Australia
403041073,Christie Downs,40304,Onkaparinga,4,South Australia
403041074,Christies Beach,40304,Onkaparinga,4,South Australia
403041075,Clarendon,40304,Onkaparinga,4,South Australia
403041076,Coromandel Valley,40304,Onkaparinga,4,South Australia
403041077,Flagstaff Hill,40304,Onkaparinga,4,South Australia
403041078,Hackham - Onkaparinga Hills,40304,Onkaparinga,4,South Australia
403041079,Hackham West - Huntfield Heights,40304,Onkaparinga,4,South Australia
403041080,Happy Valley,40304,Onkaparinga,4,South Australia
403041081,Happy Valley Reservoir,40304,Onkaparinga,4,South Australia
403041082,Lonsdale,40304,Onkaparinga,4,South Australia
403041083,McLaren Vale,40304,Onkaparinga,4,South Australia
403041084,Morphett Vale - East,40304,Onkaparinga,4,South Australia
403041085,Morphett Vale - West,40304,Onkaparinga,4,South Australia
403041086,Reynella,40304,Onkaparinga,4,South Australia
403041088,Willunga,40304,Onkaparinga,4,South Australia
403041089,Woodcroft,40304,Onkaparinga,4,South Australia
403041177,Seaford - Seaford Meadows,40304,Onkaparinga,4,South Australia
403041178,Seaford Rise - Moana,40304,Onkaparinga,4,South Australia
404011090,Beverley,40401,Charles Sturt,4,South Australia
404011091,Flinders Park,40401,Charles Sturt,4,South Australia
404011092,Henley Beach,40401,Charles Sturt,4,South Australia
404011093,Hindmarsh - Brompton,40401,Charles Sturt,4,South Australia
404011094,Royal Park - Hendon - Albert Park,40401,Charles Sturt,4,South Australia
404011095,Seaton - Grange,40401,Charles Sturt,4,South Australia
404011096,West Lakes,40401,Charles Sturt,4,South Australia
404011097,Woodville - Cheltenham,40401,Charles Sturt,4,South Australia
404021098,Dry Creek - South,40402,Port Adelaide - West,4,South Australia
404021099,Largs Bay - Semaphore,40402,Port Adelaide - West,4,South Australia
404021100,North Haven,40402,Port Adelaide - West,4,South Australia
404021101,Port Adelaide,40402,Port Adelaide - West,4,South Australia
404021102,The Parks,40402,Port Adelaide - West,4,South Australia
404021103,Torrens Island,40402,Port Adelaide - West,4,South Australia
404031104,Adelaide Airport,40403,West Torrens,4,South Australia
404031105,Fulham,40403,West Torrens,4,South Australia
404031106,Lockleys,40403,West Torrens,4,South Australia
404031107,Plympton,40403,West Torrens,4,South Australia
404031108,Richmond (SA),40403,West Torrens,4,South Australia
404031109,West Beach,40403,West Torrens,4,South Australia
405011110,Barossa - Angaston,40501,Barossa,4,South Australia
405011111,Light,40501,Barossa,4,South Australia
405011112,Lyndoch,40501,Barossa,4,South Australia
405011113,Mallala,40501,Barossa,4,South Australia
405011114,Nuriootpa,40501,Barossa,4,South Australia
405011115,Tanunda,40501,Barossa,4,South Australia
405021116,Clare,40502,Lower North,4,South Australia
405021117,Gilbert Valley,40502,Lower North,4,South Australia
405021118,Goyder,40502,Lower North,4,South Australia
405021119,Wakefield - Barunga West,40502,Lower North,4,South Australia
405031120,Jamestown,40503,Mid North,4,South Australia
405031121,Peterborough - Mount Remarkable,40503,Mid North,4,South Australia
405031122,Port Pirie,40503,Mid North,4,South Australia
405031123,Port Pirie Surrounds,40503,Mid North,4,South Australia
405041124,Kadina,40504,Yorke Peninsula,4,South Australia
405041125,Moonta,40504,Yorke Peninsula,4,South Australia
405041126,Wallaroo,40504,Yorke Peninsula,4,South Australia
405041127,Yorke Peninsula - North,40504,Yorke Peninsula,4,South Australia
405041128,Yorke Peninsula - South,40504,Yorke Peninsula,4,South Australia
406011129,Ceduna,40601,Eyre Peninsula and South West,4,South Australia
406011130,Eyre Peninsula,40601,Eyre Peninsula and South West,4,South Australia
406011131,Kimba - Cleve - Franklin Harbour,40601,Eyre Peninsula and South West,4,South Australia
406011132,Le Hunte - Elliston,40601,Eyre Peninsula and South West,4,South Australia
406011133,Port Lincoln,40601,Eyre Peninsula and South West,4,South Australia
406011134,West Coast (SA),40601,Eyre Peninsula and South West,4,South Australia
406011135,Western,40601,Eyre Peninsula and South West,4,South Australia
406011136,Whyalla,40601,Eyre Peninsula and South West,4,South Australia
406011137,Whyalla - North,40601,Eyre Peninsula and South West,4,South Australia
406021138,APY Lands,40602,Outback - North and East,4,South Australia
406021139,Coober Pedy,40602,Outback - North and East,4,South Australia
406021140,Quorn - Lake Gilles,40602,Outback - North and East,4,South Australia
406021141,Outback,40602,Outback - North and East,4,South Australia
406021142,Port Augusta,40602,Outback - North and East,4,South Australia
406021143,Roxby Downs,40602,Outback - North and East,4,South Australia
407011144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,4,South Australia
407011145,Kangaroo Island,40701,Fleurieu - Kangaroo Island,4,South Australia
407011146,Strathalbyn,40701,Fleurieu - Kangaroo Island,4,South Australia
407011147,Strathalbyn Surrounds,40701,Fleurieu - Kangaroo Island,4,South Australia
407011148,Victor Harbor,40701,Fleurieu - Kangaroo Island,4,South Australia
407011149,Yankalilla,40701,Fleurieu - Kangaroo Island,4,South Australia
407021150,Grant,40702,Limestone Coast,4,South Australia
407021151,Kingston - Robe,40702,Limestone Coast,4,South Australia
407021152,Millicent,40702,Limestone Coast,4,South Australia
407021154,Naracoorte,40702,Limestone Coast,4,South Australia
407021155,Naracoorte Surrounds,40702,Limestone Coast,4,South Australia
407021156,Penola,40702,Limestone Coast,4,South Australia
407021157,Tatiara,40702,Limestone Coast,4,South Australia
407021158,Wattle Range,40702,Limestone Coast,4,South Australia
407021173,Mount Gambier - East,40702,Limestone Coast,4,South Australia
407021174,Mount Gambier - West,40702,Limestone Coast,4,South Australia
407031159,Barmera,40703,Murray and Mallee,4,South Australia
407031160,Berri,40703,Murray and Mallee,4,South Australia
407031161,Karoonda - Lameroo,40703,Murray and Mallee,4,South Australia
407031162,Loxton,40703,Murray and Mallee,4,South Australia
407031163,Loxton Surrounds,40703,Murray and Mallee,4,South Australia
407031164,Mannum,40703,Murray and Mallee,4,South Australia
407031165,Murray Bridge,40703,Murray and Mallee,4,South Australia
407031166,Murray Bridge Surrounds,40703,Murray and Mallee,4,South Australia
407031167,Renmark,40703,Murray and Mallee,4,South Australia
407031168,Renmark Surrounds,40703,Murray and Mallee,4,South Australia
407031169,The Coorong,40703,Murray and Mallee,4,South Australia
407031170,Waikerie,40703,Murray and Mallee,4,South Australia
501011001,Augusta,50101,Augusta - Margaret River - Busselton,5,Western Australia
501011003,Busselton Surrounds,50101,Augusta - Margaret River - Busselton,5,Western Australia
501011004,Margaret River,50101,Augusta - Margaret River - Busselton,5,Western Australia
501011293,Busselton - East,50101,Augusta - Margaret River - Busselton,5,Western Australia
501011294,Busselton - West,50101,Augusta - Margaret River - Busselton,5,Western Australia
501021005,Australind - Leschenault,50102,Bunbury,5,Western Australia
501021007,Capel,50102,Bunbury,5,Western Australia
501021008,College Grove - Carey Park,50102,Bunbury,5,Western Australia
501021009,Collie,50102,Bunbury,5,Western Australia
501021010,Dardanup,50102,Bunbury,5,Western Australia
501021011,Davenport,50102,Bunbury,5,Western Australia
501021012,Eaton - Pelican Point,50102,Bunbury,5,Western Australia
501021014,Harvey,50102,Bunbury,5,Western Australia
501021015,East Bunbury - Glen Iris,50102,Bunbury,5,Western Australia
501021016,Waroona,50102,Bunbury,5,Western Australia
501021251,Dalyellup,50102,Bunbury,5,Western Australia
501021252,Gelorup - Stratham,50102,Bunbury,5,Western Australia
501021253,South Bunbury - Bunbury,50102,Bunbury,5,Western Australia
501021254,Withers - Usher,50102,Bunbury,5,Western Australia
501031017,Bridgetown - Boyup Brook,50103,Manjimup,5,Western Australia
501031018,Donnybrook - Balingup,50103,Manjimup,5,Western Australia
501031019,Manjimup,50103,Manjimup,5,Western Australia
501031020,Pemberton,50103,Manjimup,5,Western Australia
502011021,Dawesville - Bouvard,50201,Mandurah,5,Western Australia
502011022,Falcon - Wannanup,50201,Mandurah,5,Western Australia
502011023,Greenfields,50201,Mandurah,5,Western Australia
502011024,Halls Head - Erskine,50201,Mandurah,5,Western Australia
502011025,Mandurah,50201,Mandurah,5,Western Australia
502011026,Mandurah - East,50201,Mandurah,5,Western Australia
502011027,Mandurah - North,50201,Mandurah,5,Western Australia
502011028,Mandurah - South,50201,Mandurah,5,Western Australia
502011029,Pinjarra,50201,Mandurah,5,Western Australia
503011030,City Beach,50301,Cottesloe - Claremont,5,Western Australia
503011031,Claremont (WA),50301,Cottesloe - Claremont,5,Western Australia
503011032,Cottesloe,50301,Cottesloe - Claremont,5,Western Australia
503011033,Floreat,50301,Cottesloe - Claremont,5,Western Australia
503011034,Mosman Park - Peppermint Grove,50301,Cottesloe - Claremont,5,Western Australia
503011035,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,5,Western Australia
503011036,Swanbourne - Mount Claremont,50301,Cottesloe - Claremont,5,Western Australia
503021037,Kings Park (WA),50302,Perth City,5,Western Australia
503021038,Mount Hawthorn - Leederville,50302,Perth City,5,Western Australia
503021039,Mount Lawley - Inglewood,50302,Perth City,5,Western Australia
503021040,North Perth,50302,Perth City,5,Western Australia
503021042,Subiaco - Shenton Park,50302,Perth City,5,Western Australia
503021043,Wembley - West Leederville - Glendalough,50302,Perth City,5,Western Australia
503021295,East Perth,50302,Perth City,5,Western Australia
503021296,Perth (North) - Highgate,50302,Perth City,5,Western Australia
503021297,Perth (West) - Northbridge,50302,Perth City,5,Western Australia
504011044,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,5,Western Australia
504011045,Bayswater - Embleton - Bedford,50401,Bayswater - Bassendean,5,Western Australia
504011046,Maylands,50401,Bayswater - Bassendean,5,Western Australia
504011047,Morley,50401,Bayswater - Bassendean,5,Western Australia
504011048,Noranda,50401,Bayswater - Bassendean,5,Western Australia
504021049,Chidlow,50402,Mundaring,5,Western Australia
504021050,Glen Forrest - Darlington,50402,Mundaring,5,Western Australia
504021051,Helena Valley - Koongamia,50402,Mundaring,5,Western Australia
504021052,Malmalling - Reservoir,50402,Mundaring,5,Western Australia
504021053,Mundaring,50402,Mundaring,5,Western Australia
504021054,Swan View - Greenmount - Midvale,50402,Mundaring,5,Western Australia
504031055,Avon Valley National Park,50403,Swan,5,Western Australia
504031056,Ballajura,50403,Swan,5,Western Australia
504031057,Beechboro,50403,Swan,5,Western Australia
504031058,Bullsbrook,50403,Swan,5,Western Australia
504031060,Gidgegannup,50403,Swan,5,Western Australia
504031061,Hazelmere - Guildford,50403,Swan,5,Western Australia
504031062,Lockridge - Kiara,50403,Swan,5,Western Australia
504031063,Malaga,50403,Swan,5,Western Australia
504031064,Melaleuca - Lexia,50403,Swan,5,Western Australia
504031065,Middle Swan - Herne Hill,50403,Swan,5,Western Australia
504031066,Midland - Guildford,50403,Swan,5,Western Australia
504031067,Stratton - Jane Brook,50403,Swan,5,Western Australia
504031068,The Vines,50403,Swan,5,Western Australia
504031069,Walyunga National Park,50403,Swan,5,Western Australia
504031298,Aveley,50403,Swan,5,Western Australia
504031299,Brabham - Henley Brook,50403,Swan,5,Western Australia
504031300,Ellenbrook,50403,Swan,5,Western Australia
505011070,Craigie - Beldon,50501,Joondalup,5,Western Australia
505011071,Currambine - Kinross,50501,Joondalup,5,Western Australia
505011072,Duncraig,50501,Joondalup,5,Western Australia
505011073,Greenwood - Warwick,50501,Joondalup,5,Western Australia
505011074,Heathridge - Connolly,50501,Joondalup,5,Western Australia
505011075,Hillarys,50501,Joondalup,5,Western Australia
505011076,Iluka - Burns Beach,50501,Joondalup,5,Western Australia
505011077,Joondalup - Edgewater,50501,Joondalup,5,Western Australia
505011078,Kingsley,50501,Joondalup,5,Western Australia
505011079,Mullaloo - Kallaroo,50501,Joondalup,5,Western Australia
505011080,Ocean Reef,50501,Joondalup,5,Western Australia
505011081,Padbury,50501,Joondalup,5,Western Australia
505011082,Sorrento - Marmion,50501,Joondalup,5,Western Australia
